geoarea,status,region,subregion,geoarea_esri,iso-alpha3,economy,sids,economy_sids,un_region_code,un_region_name,un_subregion_code,un_subregion_name,un_intermediate_region_code,un_intermediate_region_name,un_area,m49_code,mrgid,eez_area,total_eez_area,eez_deeper_than_200,eez_area_0_to_200m,eez_area_200_to_1000m,eez_area_1000_to_2000m,eez_area_2000_to_4000m,eez_area_4000_to_6000m,eez_area_deeper_than_6000m,pct_eez_deeper_than_200,no_ocean,has_ocean,has_ocean_no_deep,has_ocean_deep,ocean_status,50_percent_or_more,90_percent_or_more,Depth_200_PCT,Depth_200_1000_PCT,Depth_1000_2000_PCT,Depth_2000_4000_PCT,Depth_4000_6000_PCT,Depth_6000_PCT,num_survey,num_survey_geo,num_research_geo,survey_research,survey_alone,research_alone,no_data,yes_data,data_sources,no_research_why,check,geoarea eez check,Sovereign,income_group_wb,has_deep_ocean,,dscsr-all,dscsr-imp,dscsr-tools,dscsr-exp,dscsr-group,dscsr-group-imp,dscsr-group-tools,dscsr-group-exp,dsc-pi-all,dsc-pi-vessel,dsc-pi-dsv,dsc-pi-sensor,dsc-pi-data,dsc-pi-org,dsc-pi-ind,dsc-ai-all,dsc-ai-vessel,dsc-ai-dsv,dsc-ai-sensor,dsc-ai-data,dsc-si-all,dsc-si-vessel,dsc-si-dsv,dsc-si-sensor,dsc-si-data,dsc-index-group
Bassas da India,Territory,Africa,Eastern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,8340,Bassas da India,120689.963,120675.4313,14.53173375,539.5868834,1118.400122,119017.4443,0,0,99.99,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,1,99,0,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Bassas da India,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Crozet,Territory,Africa,Southern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,8385,Crozet Islands,575320.7908,569695.7802,5625.010724,16692.46428,42360.88247,353216.3578,157426.0756,0,99.02,0,1,0,1,has_ocean_deep,TRUE,TRUE,1,3,7,61,27,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Crozet,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Europa Island,Territory,Africa,Eastern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,8341,Europa Island,127944.7926,127938.0664,6.726271078,77.4259831,323.8398182,122333.6484,5203.152181,0,99.99,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,0,96,4,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Europa Island,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Glorieuse Islands,Territory,Africa,Eastern Africa,Glorioso Islands,ATF,Unclassified,,Unclassified,,,,,,,,,48945,Glorioso Islands,43379.34407,42669.58942,709.754654,627.7613825,1218.718822,38513.82536,2309.28386,0,98.36,0,1,0,1,has_ocean_deep,TRUE,TRUE,2,1,3,89,5,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Glorieuse Islands,Madagascar,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Juan de Nova Island,Territory,Africa,Eastern Africa,Juan De Nova Island,ATF,Unclassified,,Unclassified,,,,,,,,,,,62740.67274,61915.5201,825.1526421,1668.192947,11686.50461,48560.82254,0,0,98.68,0,1,0,1,has_ocean_deep,TRUE,TRUE,1,3,19,77,0,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Juan de Nova Island,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kerguelen,Territory,Africa,Southern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,8387,Kerguélen,550109.081,488668.9571,61440.12397,135521.7921,96727.7903,226599.5003,29819.87437,0,88.83,0,1,0,1,has_ocean_deep,TRUE,FALSE,11,25,18,41,5,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Kerguelen,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Paul and Amsterdam Islands,Territory,Africa,Southern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,8386,Amsterdam and Saint Paul Islands,512175.0049,512051.6854,123.3194085,1774.631808,33692.49178,435051.6948,41532.86705,0,99.98,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,7,85,8,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,St. Paul and Amsterdam Islands,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tromelin,Territory,Africa,Eastern Africa,French Southern Territories,ATF,Unclassified,,Unclassified,,,,,,,,,48946,Ile Tromelin,274440.7921,274439.352,1.440053701,42.17218666,125.9727329,10195.89429,264075.3128,0,100.00,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,0,4,96,0,0,0,0,0,0,0,1,0,no_data,Uninhabited/not permanent,1,Tromelin,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Reunion,Territory,Africa,Eastern Africa,Réunion,ATF,Unclassified,,Unclassified,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Réunion,638,8338,Réunion,315341.1117,314881.1289,459.9828404,1257.894295,4488.636514,35656.20199,273478.3961,0,99.85,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,1,11,87,0,0,0,1,0,0,1,0,1,research_only,,1,Reunion,France,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,5,2,3,5,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
Ascension,Territory,Africa,Western Africa,Ascension,,Unclassified,,Unclassified,,,,,,,,,8379,Ascension,445996.0847,445910.7824,85.30231974,543.9310845,4619.338688,392956.6048,47790.90779,0,99.98,0,1,0,1,has_ocean_deep,TRUE,TRUE,0,0,1,88,11,0,0,0,1,0,0,1,0,1,research_only,,1,Ascension,United Kingdom,Not classified,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,1,3,2,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,D
