col_name,question,question_type,text
Q1,Q1,choose-1,Which country would you like to represent for this survey?
Q1_other,Q1,choose-1,Which country would you like to represent for this survey?
Q2,Q2,choose-1,The country/nation identified in the previous question is...
Q2_other,Q2,choose-1,The country/nation identified in the previous question is...
Q3_basic_science,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_fisheries,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_mining,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_conservation,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_history,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_offshore_oil,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_renewable_energy,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_safety,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_telecommunications,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_climate_change,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q3_other,Q3,choose-3,What are the 3 most important deep sea issues in your country?
Q4_importance,Q4,agree-disagree,Deep sea research and exploration are considered important in my country.
Q4_qualified,Q4,agree-disagree,I think my country is both qualified and prepared to conduct deep sea research and exploration.
Q4_in-country_tools,Q4,agree-disagree,We have in-country tools/technology to conduct deep sea research and exploration.
Q4_in-country_expertise,Q4,agree-disagree,We have in-country expertise to conduct deep sea research and exploration.
Q5_science,Q5,choose-3,What are the primary roles you represent in your country?
Q5_education,Q5,choose-3,What are the primary roles you represent in your country?
Q5_policy,Q5,choose-3,What are the primary roles you represent in your country?
Q5_developing_nation,Q5,choose-3,What are the primary roles you represent in your country?
Q5_engineering,Q5,choose-3,What are the primary roles you represent in your country?
Q5_traditional_knowledge,Q5,choose-3,What are the primary roles you represent in your country?
Q5_recreation,Q5,choose-3,What are the primary roles you represent in your country?
Q5_industry,Q5,choose-3,What are the primary roles you represent in your country?
Q5_philanthropy,Q5,choose-3,What are the primary roles you represent in your country?
Q5_student,Q5,choose-3,What are the primary roles you represent in your country?
Q5_conservation,Q5,choose-3,What are the primary roles you represent in your country?
Q5_other,Q5,choose-3,What are the primary roles you represent in your country?
Q6_none,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q6_inshore,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q6_nearshore,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q6_continental_shelf,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q6_deep,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q6_other,Q6,choose-all,"If you carry out field research, in what marine environment(s) do you work?"
Q7_lab1,Q7,free-text,Which universities and/or research labs study the deep sea in your country?
Q7_lab2,Q7,free-text,Which universities and/or research labs study the deep sea in your country?
Q7_lab3,Q7,free-text,Which universities and/or research labs study the deep sea in your country?
Q7_lab4,Q7,free-text,Which universities and/or research labs study the deep sea in your country?
Q7_lab5,Q7,free-text,Which universities and/or research labs study the deep sea in your country?
Q8_gov1,Q8,free-text,Which government agencies/ministries study the deep sea in your country?
Q8_gov2,Q8,free-text,Which government agencies/ministries study the deep sea in your country?
Q8_gov3,Q8,free-text,Which government agencies/ministries study the deep sea in your country?
Q8_gov4,Q8,free-text,Which government agencies/ministries study the deep sea in your country?
Q8_gov5,Q8,free-text,Which government agencies/ministries study the deep sea in your country?
Q9_org1,Q9,free-text,Are there other organizations that deal with deep sea issues in your country?
Q9_org2,Q9,free-text,Are there other organizations that deal with deep sea issues in your country?
Q9_org3,Q9,free-text,Are there other organizations that deal with deep sea issues in your country?
Q9_org4,Q9,free-text,Are there other organizations that deal with deep sea issues in your country?
Q9_org5,Q9,free-text,Are there other organizations that deal with deep sea issues in your country?
Q10_none,Q10,choose-all,What marine industries exist in your country?
Q10_aquaculture,Q10,choose-all,What marine industries exist in your country?
Q10_mining,Q10,choose-all,What marine industries exist in your country?
Q10_fisheries,Q10,choose-all,What marine industries exist in your country?
Q10_biotechnology,Q10,choose-all,What marine industries exist in your country?
Q10_construction,Q10,choose-all,What marine industries exist in your country?
Q10_research,Q10,choose-all,What marine industries exist in your country?
Q10_transport,Q10,choose-all,What marine industries exist in your country?
Q10_renewable_energy,Q10,choose-all,What marine industries exist in your country?
Q10_offshore_oil,Q10,choose-all,What marine industries exist in your country?
Q10_conservation,Q10,choose-all,What marine industries exist in your country?
Q10_safety,Q10,choose-all,What marine industries exist in your country?
Q10_shipping,Q10,choose-all,What marine industries exist in your country?
Q10_tourism,Q10,choose-all,What marine industries exist in your country?
Q10_other,Q10,choose-all,What marine industries exist in your country?
Q11,Q11,importance,How important are ships/vessels for your work?
Q12,Q12,choose-1,What kinds of vessels do you have access to for deep sea work in your country?
Q12_other,Q12,choose-1,What kinds of vessels do you have access to for deep sea work in your country?
Q13_research,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_fishing,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_cruise,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_recreational,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_traditional,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_no_access,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q13_other,Q13,choose-all,What kinds of vessels do you have access to for deep sea work in your country?
Q14_cost,Q14,agree-disagree,How well do the vessels in your country meet your needs in terms of cost?
Q14_availability,Q14,agree-disagree,How well do the vessels in your country meet your needs in terms of availability?
Q14_capabilities,Q14,agree-disagree,How well do the vessels in your country meet your needs in terms of capabilities?
