geoarea,researcher,col_name,question,selection,region,subregion,sids,economy_sids,income_group_wb,survey,research, [FC], [HFC], [A], [PS], [FO], [CID], [RO], [MR], [CO], [CR], [GDL], [FR], [AR], [SP], [PT], [BD],research_tech,research_tech_clean,research_CID,research_org,research_org_clean
Albania,Baldwin,notes,notes,Plan to boost blue ecoNomy 2018  https://www.al.undp.org/content/albania/en/home/projects/enhancing-the-development-of-albanian-maritime-sector-through-te.html  https://www.yumpu.com/en/document/read/59900973/general-national-spatial-plan-shqiperia-2030/15,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q10_comments,Q10,10b Albania have joined the moratorium on deep-sea mining,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q10_mining,Q10,No [A],Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q10_renewable_energy,Q10,No [A],Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q10_research,Q10,No [A],Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q13_comments,Q13,12a The Turkish vessel Virazon II has carried out surveys in Albanian waters.,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q13_cruise,Q13,No [FC],Europe,Southern Europe,,Developed,Upper middle income,,research,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q13_other,Q13,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q13_research,Q13,No [FC],Europe,Southern Europe,,Developed,Upper middle income,,research,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_auv,Q18,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_bruv,Q18,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_comments,Q18,"18a RPM Nautical Foundation is a Non-profit research and educational organization that performs maritime archaeological research in the Mediterranean. RPM Nautical Foundation was invited to Albania in 2004 by Auron Tare, the former principal investigator of the Butrint archaeological site and a tireless protector of Albania’s archaeological and cultural heritage. The Butrint site had been inhabited since prehistoric times, was declared a UNESCO World Heritage site in 1992, and became Albania’s first-ever national park. During the Albanian coastal survey the R/V Hercules crew deploy the boat’s remotely operated vehicle (ROV) Athena near the Albanian island of Sazan. ",Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_drifters,Q18,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_hov,Q18,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_rov,Q18,No [FC] ,Europe,Southern Europe,,Developed,Upper middle income,,research,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q18_tow_sleds,Q18,No,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q24_comments,Q24,24a Global Environment Facility (2021) ‘Integrated Monitoring Programme Albania’.  24d  Global Environment Facility (2021) ‘Integrated Monitoring Programme Albania’.  24e  Global Environment Facility (2021) ‘Integrated Monitoring Programme Albania’.  24g RPM Nautical Foundation Albania Coastal Survey,Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
Albania,Baldwin,Q24_ctd,Q24,No [PS],Europe,Southern Europe,,Developed,Upper middle income,,research,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,,,
